observation_date,BAA,BAA10YM,AAA
1964-04-01,4.85,0.62,4.40
1964-05-01,4.85,0.65,4.41
1964-06-01,4.85,0.68,4.41
1964-07-01,4.83,0.64,4.40
1964-08-01,4.82,0.63,4.41
1964-09-01,4.82,0.62,4.42
1964-10-01,4.81,0.62,4.42
1964-11-01,4.81,0.66,4.43
1964-12-01,4.81,0.63,4.44
1965-01-01,4.80,0.61,4.43
1965-02-01,4.78,0.57,4.41
1965-03-01,4.78,0.57,4.42
1965-04-01,4.80,0.60,4.43
1965-05-01,4.81,0.60,4.44
1965-06-01,4.85,0.64,4.46
1965-07-01,4.88,0.68,4.48
1965-08-01,4.88,0.63,4.49
1965-09-01,4.91,0.62,4.52
1965-10-01,4.93,0.58,4.56
1965-11-01,4.95,0.50,4.60
1965-12-01,5.02,0.40,4.68
1966-01-01,5.06,0.45,4.74
1966-02-01,5.12,0.29,4.78
1966-03-01,5.32,0.45,4.92
1966-04-01,5.41,0.66,4.96
1966-05-01,5.48,0.70,4.98
1966-06-01,5.58,0.77,5.07
1966-07-01,5.68,0.66,5.16
1966-08-01,5.83,0.61,5.31
1966-09-01,6.09,0.91,5.49
1966-10-01,6.10,1.09,5.41
1966-11-01,6.13,0.97,5.35
1966-12-01,6.18,1.34,5.39
1967-01-01,5.97,1.39,5.20
1967-02-01,5.82,1.19,5.03
1967-03-01,5.85,1.31,5.13
1967-04-01,5.83,1.24,5.11
1967-05-01,5.96,1.11,5.24
1967-06-01,6.15,1.13,5.44
1967-07-01,6.26,1.10,5.58
1967-08-01,6.33,1.05,5.62
1967-09-01,6.40,1.10,5.65
1967-10-01,6.52,1.04,5.82
1967-11-01,6.72,0.97,6.07
1967-12-01,6.93,1.23,6.19
1968-01-01,6.84,1.31,6.17
1968-02-01,6.80,1.24,6.10
1968-03-01,6.85,1.11,6.11
1968-04-01,6.97,1.33,6.21
1968-05-01,7.03,1.16,6.27
1968-06-01,7.07,1.35,6.28
1968-07-01,6.98,1.48,6.24
1968-08-01,6.82,1.40,6.02
1968-09-01,6.79,1.33,5.97
1968-10-01,6.84,1.26,6.09
1968-11-01,7.01,1.31,6.19
1968-12-01,7.23,1.20,6.45
1969-01-01,7.32,1.28,6.59
1969-02-01,7.30,1.11,6.66
1969-03-01,7.51,1.21,6.85
1969-04-01,7.54,1.37,6.89
1969-05-01,7.52,1.20,6.79
1969-06-01,7.70,1.13,6.98
1969-07-01,7.84,1.12,7.08
1969-08-01,7.86,1.17,6.97
1969-09-01,8.05,0.89,7.14
1969-10-01,8.22,1.12,7.33
1969-11-01,8.25,1.11,7.35
1969-12-01,8.65,1.00,7.72
1970-01-01,8.86,1.07,7.91
1970-02-01,8.78,1.54,7.93
1970-03-01,8.63,1.56,7.84
1970-04-01,8.70,1.31,7.83
1970-05-01,8.98,1.07,8.11
1970-06-01,9.25,1.41,8.48
1970-07-01,9.40,1.94,8.44
1970-08-01,9.44,1.91,8.13
1970-09-01,9.39,2.00,8.09
1970-10-01,9.33,2.00,8.03
1970-11-01,9.38,2.54,8.05
1970-12-01,9.12,2.73,7.64
1971-01-01,8.74,2.50,7.36
1971-02-01,8.39,2.28,7.08
1971-03-01,8.46,2.76,7.21
1971-04-01,8.45,2.62,7.25
1971-05-01,8.62,2.23,7.53
1971-06-01,8.75,2.23,7.64
1971-07-01,8.76,2.03,7.64
1971-08-01,8.76,2.18,7.59
1971-09-01,8.59,2.45,7.44
1971-10-01,8.48,2.55,7.39
1971-11-01,8.38,2.57,7.26
1971-12-01,8.38,2.45,7.25
1972-01-01,8.23,2.28,7.19
1972-02-01,8.23,2.15,7.27
1972-03-01,8.24,2.17,7.24
1972-04-01,8.24,2.05,7.30
1972-05-01,8.23,2.10,7.30
1972-06-01,8.20,2.09,7.23
1972-07-01,8.23,2.12,7.21
1972-08-01,8.19,1.98,7.19
1972-09-01,8.09,1.54,7.22
1972-10-01,8.06,1.58,7.21
1972-11-01,7.99,1.71,7.12
1972-12-01,7.93,1.57,7.08
1973-01-01,7.90,1.44,7.15
1973-02-01,7.97,1.33,7.22
1973-03-01,8.03,1.32,7.29
1973-04-01,8.09,1.42,7.26
1973-05-01,8.06,1.21,7.29
1973-06-01,8.13,1.23,7.37
1973-07-01,8.24,1.11,7.45
1973-08-01,8.53,1.13,7.68
1973-09-01,8.63,1.54,7.63
1973-10-01,8.41,1.62,7.60
1973-11-01,8.42,1.69,7.67
1973-12-01,8.48,1.74,7.68
1974-01-01,8.48,1.49,7.83
1974-02-01,8.53,1.57,7.85
1974-03-01,8.62,1.41,8.01
1974-04-01,8.87,1.36,8.25
1974-05-01,9.05,1.47,8.37
1974-06-01,9.27,1.73,8.47
1974-07-01,9.48,1.67,8.72
1974-08-01,9.77,1.73,9.00
1974-09-01,10.18,2.14,9.24
1974-10-01,10.48,2.58,9.27
1974-11-01,10.60,2.92,8.89
1974-12-01,10.63,3.20,8.89
1975-01-01,10.81,3.31,8.83
1975-02-01,10.65,3.26,8.62
1975-03-01,10.48,2.75,8.67
1975-04-01,10.58,2.35,8.95
1975-05-01,10.69,2.63,8.90
1975-06-01,10.62,2.76,8.77
1975-07-01,10.55,2.49,8.84
1975-08-01,10.59,2.19,8.95
1975-09-01,10.61,2.18,8.95
1975-10-01,10.62,2.48,8.86
1975-11-01,10.56,2.51,8.78
1975-12-01,10.56,2.56,8.79
1976-01-01,10.41,2.67,8.60
1976-02-01,10.24,2.45,8.55
1976-03-01,10.12,2.39,8.52
1976-04-01,9.94,2.38,8.40
1976-05-01,9.86,1.96,8.58
1976-06-01,9.89,2.03,8.62
1976-07-01,9.82,1.99,8.56
1976-08-01,9.64,1.87,8.45
1976-09-01,9.40,1.81,8.38
1976-10-01,9.29,1.88,8.32
