observation_date,BAA,BAA10YM,AAA
2020-04-01,4.13,3.47,2.43
2020-05-01,3.95,3.28,2.50
2020-06-01,3.64,2.91,2.44
2020-07-01,3.31,2.69,2.14
2020-08-01,3.27,2.62,2.25
2020-09-01,3.36,2.68,2.31
2020-10-01,3.44,2.65,2.35
2020-11-01,3.30,2.43,2.30
2020-12-01,3.16,2.23,2.26
2021-01-01,3.24,2.16,2.45
2021-02-01,3.42,2.16,2.70
2021-03-01,3.74,2.13,3.04
2021-04-01,3.60,1.97,2.90
2021-05-01,3.62,2.00,2.96
2021-06-01,3.44,1.92,2.79
2021-07-01,3.24,1.92,2.57
2021-08-01,3.24,1.96,2.55
2021-09-01,3.23,1.86,2.53
2021-10-01,3.35,1.77,2.68
2021-11-01,3.28,1.72,2.62
2021-12-01,3.30,1.84,2.65
2022-01-01,3.58,1.82,2.93
2022-02-01,3.97,2.04,3.25
2022-03-01,4.29,2.16,3.43
2022-04-01,4.66,1.91,3.76
